draw,grid_point_index,grid_point_id,shift_index,centroid_time_shift_s,centroid_time,centroid_lat,centroid_lon,centroid_depth_km,offset_north_m,offset_east_m,on_grid_edge,space_time_cell_weight,space_time_cell_n_draws,dc_percent,clvd_percent,iso_percent,moment_Nm,Mw,NP1_strike_deg,NP1_dip_deg,NP1_rake_deg,NP2_strike_deg,NP2_dip_deg,NP2_rake_deg
329,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.7693249509879,-5.216786976082551,-12.013888072929555,1.072356253458666e+18,5.986892725815193,289.4030888578584,79.18051267008313,115.67733459221266,40.73069998333758,27.72047904802532,23.800387842358912
330,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.5318374268426,-5.371355694147795,-12.096806879009609,1.0749264029452424e+18,5.98758582026763,289.40123345281046,79.171436992125,115.61368987384314,40.80028746725629,27.665568025932682,23.867574945037287
331,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.6097407634169,-5.349433681944347,-12.040825554638758,1.073924521380107e+18,5.987315839282686,289.3781189243092,79.1711058671903,115.6202119652824,40.77207832310054,27.671653269872262,23.8632060707788
332,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.60169225803779,-5.367689098915145,-12.03061864304707,1.0740965130216991e+18,5.987362204453132,289.3912266358213,79.19334487084038,115.61452744866367,40.750631582180915,27.658347823798536,23.822986736053114
333,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.61342433901322,-5.335179480852608,-12.051396180134173,1.0739525931504544e+18,5.987323407322699,289.40877488947797,79.18971258849352,115.64123137058688,40.75141155193232,27.684100204065775,23.809707342329794
334,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.64341581143539,-5.257699343241045,-12.098884845323557,1.0742265666406226e+18,5.987397259124163,289.3895166695539,79.17467911925569,115.61021887974955,40.7858368659951,27.66121095861435,23.86375214154829
335,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.62045834169865,-5.329435569118768,-12.050106089182592,1.0737656208767826e+18,5.987272996596004,289.37707114475216,79.17208473161296,115.63522141581483,40.75622414504736,27.685023387792516,23.849670598301046
336,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.45983934369413,-5.368086950330621,-12.172073705975247,1.0755933616610463e+18,5.987765408789428,289.36978603548783,79.16614140898896,115.58039204771609,40.80730155888539,27.637055810380954,23.903931600978122
337,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.53440431889724,-5.339086156267113,-12.12650952483565,1.0749755361826378e+18,5.9875990539216835,289.394377330904,79.18832497494655,115.68124274062389,40.704749449248354,27.72121485028181,23.781742119857324
338,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.5678864643511,-5.2764764392257195,-12.155637096423165,1.0747713987681193e+18,5.9875440671375815,289.3639599282694,79.1836248718949,115.63704069983173,40.7210464982992,27.682482729388,23.825137321646906
